Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-1 [m],FG822-1_corrected [m]
24/10/2014 12:45:00,10.1051,,144.3444,144.3409
24/10/2014 13:00:00,10.1077,,144.3429,144.3403
24/10/2014 13:15:00,10.1108,,144.342,144.3404
24/10/2014 13:30:00,10.114,,144.3401,144.3395
24/10/2014 13:45:00,10.1168,,144.3382,144.3386
24/10/2014 14:00:00,10.1194,,144.3371,144.3387
24/10/2014 14:15:00,10.1217,,144.3358,144.3385
24/10/2014 14:30:00,10.1239,,144.3353,144.339
24/10/2014 14:45:00,10.1261,,144.3343,144.3389
24/10/2014 15:00:00,10.1282,,144.3338,144.3393
24/10/2014 15:15:00,10.13,,144.3333,144.3397
24/10/2014 15:30:00,10.1313,,144.3331,144.3402
24/10/2014 15:45:00,10.1316,,144.3323,144.34
24/10/2014 16:00:00,10.1312,,144.3319,144.34
24/10/2014 16:15:00,10.13,,144.3317,144.3398
24/10/2014 16:30:00,10.1291,,144.3311,144.3393
24/10/2014 16:45:00,10.1303,,144.3315,144.3399
24/10/2014 17:00:00,10.1318,,144.3308,144.3393
24/10/2014 17:15:00,10.132,,144.3309,144.3394
24/10/2014 17:30:00,10.1319,,144.3308,144.3392
24/10/2014 17:45:00,10.1319,,144.3314,144.3396
24/10/2014 18:00:00,10.1317,,144.3322,144.3403
24/10/2014 18:15:00,10.1315,,144.3329,144.3409
24/10/2014 18:30:00,10.1308,,144.334,144.3417
24/10/2014 18:45:00,10.1291,,144.3365,144.3441
24/10/2014 19:00:00,10.1272,,144.3369,144.3442
24/10/2014 19:15:00,10.1257,,144.3373,144.3444
24/10/2014 19:30:00,10.1242,,144.3383,144.3452
24/10/2014 19:45:00,10.1221,,144.339,144.3456
24/10/2014 20:00:00,10.12,,144.3394,144.3458
24/10/2014 20:15:00,10.1186,,144.3396,144.3458
24/10/2014 20:30:00,10.1176,,144.34,144.3461
24/10/2014 20:45:00,10.1172,,144.3399,144.3461
24/10/2014 21:00:00,10.1169,,144.34,144.3462
24/10/2014 21:15:00,10.1161,,144.3399,144.3462
24/10/2014 21:30:00,10.1153,,144.3401,144.3466
24/10/2014 21:45:00,10.1149,,144.3374,144.3443
24/10/2014 22:00:00,10.1148,,144.3396,144.3469
24/10/2014 22:15:00,10.115,,144.3402,144.3479
24/10/2014 22:30:00,10.1155,,144.3396,144.3478
24/10/2014 22:45:00,10.1167,,144.3391,144.348
24/10/2014 23:00:00,10.1178,,144.3383,144.3478
24/10/2014 23:15:00,10.1176,,144.337,144.3471
24/10/2014 23:30:00,10.1173,,144.335,144.3458
24/10/2014 23:45:00,10.1178,,144.3349,144.3463
25/10/2014 00:00:00,10.1192,,144.3344,144.3465
25/10/2014 00:15:00,10.1226,,144.3336,144.3466
25/10/2014 00:30:00,10.1261,,144.3332,144.3471
25/10/2014 00:45:00,10.1273,,144.3328,144.3476
25/10/2014 01:00:00,10.1281,,144.332,144.3476
25/10/2014 01:15:00,10.1303,,144.3311,144.3475
25/10/2014 01:30:00,10.1325,,144.3311,144.3482
25/10/2014 01:45:00,10.134,,144.3311,144.3486
25/10/2014 02:00:00,10.1351,,144.3315,144.3494
25/10/2014 02:15:00,10.1362,,144.3315,144.3498
25/10/2014 02:30:00,10.1366,,144.3326,144.3511
25/10/2014 02:45:00,10.1356,,144.3328,144.351
25/10/2014 03:00:00,10.1341,,144.3334,144.3512
25/10/2014 03:15:00,10.1328,,144.3339,144.351
25/10/2014 03:30:00,10.1315,,144.3347,144.3509
25/10/2014 03:45:00,10.1302,,144.3353,144.3507
25/10/2014 04:00:00,10.1288,,144.3366,144.3509
25/10/2014 04:15:00,10.1276,,144.3359,144.3491
25/10/2014 04:30:00,10.1261,,144.3371,144.349
25/10/2014 04:45:00,10.1237,,144.3376,144.3481
25/10/2014 05:00:00,10.1216,,144.3383,144.3475
25/10/2014 05:15:00,10.1209,,144.3385,144.3464
25/10/2014 05:30:00,10.1206,,144.337,144.3435
25/10/2014 05:45:00,10.1204,,144.3379,144.3432
25/10/2014 06:00:00,10.12,,144.3397,144.3437
25/10/2014 06:15:00,10.1189,,144.3403,144.3432
25/10/2014 06:30:00,10.1174,,144.3415,144.3432
25/10/2014 06:45:00,10.1159,,144.3425,144.3429
25/10/2014 07:00:00,10.1138,,144.3432,144.3423
25/10/2014 07:15:00,10.11,,144.3436,144.3412
25/10/2014 07:30:00,10.1066,,144.3438,144.3401
25/10/2014 07:45:00,10.1062,,144.3466,144.342
25/10/2014 08:00:00,10.1064,,144.3462,144.3406
25/10/2014 08:15:00,10.1058,,144.3466,144.3403
25/10/2014 08:30:00,10.1047,,144.3465,144.3396
25/10/2014 08:45:00,10.1022,,144.348,144.3403
25/10/2014 09:00:00,10.0999,,144.3473,144.339
25/10/2014 09:15:00,10.0995,,144.3485,144.3398
25/10/2014 09:30:00,10.0997,,144.3491,144.3399
25/10/2014 09:45:00,10.0995,,144.3499,144.3405
25/10/2014 10:00:00,10.0991,,144.3487,144.3392
25/10/2014 10:15:00,10.0979,,144.3482,144.3385
25/10/2014 10:30:00,10.097,,144.3477,144.338
25/10/2014 10:45:00,10.0977,,144.3455,144.3359
25/10/2014 11:00:00,10.0991,,144.3449,144.3355
25/10/2014 11:15:00,10.101,,144.3458,144.337
25/10/2014 11:30:00,10.103,,144.3495,144.3413
25/10/2014 11:45:00,10.1051,,144.3495,144.3423
25/10/2014 12:00:00,10.1056,,144.3498,144.3433
25/10/2014 12:15:00,10.101,,144.3507,144.3443
25/10/2014 12:30:00,10.0964,,144.351,144.3449
25/10/2014 12:45:00,10.0971,,144.3521,144.3466
25/10/2014 13:00:00,10.0988,,144.3522,144.347
25/10/2014 13:15:00,10.0981,,144.3528,144.3478
25/10/2014 13:30:00,10.0973,,144.3523,144.3475
25/10/2014 13:45:00,10.0977,,144.3521,144.3475
25/10/2014 14:00:00,10.0985,,144.3528,144.3485
25/10/2014 14:15:00,10.0992,,144.3541,144.3498
25/10/2014 14:30:00,10.0998,,144.3548,144.3506
25/10/2014 14:45:00,10.1003,,144.3553,144.3512
25/10/2014 15:00:00,10.1003,,144.3563,144.3521
25/10/2014 15:15:00,10.0988,,144.3573,144.353
25/10/2014 15:30:00,10.0969,,144.3592,144.3547
25/10/2014 15:45:00,10.0957,,144.3603,144.3555
25/10/2014 16:00:00,10.0944,,144.3605,144.3553
25/10/2014 16:15:00,10.0921,,144.3618,144.3558
25/10/2014 16:30:00,10.0895,,144.3623,144.3555
25/10/2014 16:45:00,10.0866,,144.3634,144.3556
25/10/2014 17:00:00,10.0842,,144.3647,144.3557
25/10/2014 17:15:00,10.084,,144.3663,144.3565
25/10/2014 17:30:00,10.084,,144.3682,144.3576
25/10/2014 17:45:00,10.0823,,144.3695,144.3578
25/10/2014 18:00:00,10.0799,,144.3701,144.3573
25/10/2014 18:15:00,10.0767,,144.371,144.3569
25/10/2014 18:30:00,10.0736,,144.3712,144.356
25/10/2014 18:45:00,10.0715,,144.3701,144.3539
25/10/2014 19:00:00,10.0702,,144.3684,144.3511
25/10/2014 19:15:00,10.0694,,144.3684,144.3504
25/10/2014 19:30:00,10.071,,144.3688,144.3504
25/10/2014 19:45:00,10.0789,,144.3686,144.3508
25/10/2014 20:00:00,10.0861,,144.369,144.3517
25/10/2014 20:15:00,10.085,,144.3688,144.3515
25/10/2014 20:30:00,10.0818,,144.3689,144.352
25/10/2014 20:45:00,10.0808,,144.3672,144.3507
25/10/2014 21:00:00,10.0808,,144.3674,144.3514
25/10/2014 21:15:00,10.0823,,144.3656,144.3502
25/10/2014 21:30:00,10.0841,,144.3661,144.3514
25/10/2014 21:45:00,10.0846,,144.366,144.3518
25/10/2014 22:00:00,10.0848,,144.3676,144.3541
25/10/2014 22:15:00,10.0858,,144.3675,144.3549
25/10/2014 22:30:00,10.0862,,144.3658,144.3539
25/10/2014 22:45:00,10.0838,,144.3647,144.3529
