Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
04/11/2015 16:30:00,10.107,,85.674,85.6745
04/11/2015 16:45:00,10.1079,,85.674,85.6745
04/11/2015 17:00:00,10.1089,,85.675,85.6755
04/11/2015 17:15:00,10.1095,,85.676,85.6762
04/11/2015 17:30:00,10.1097,,85.677,85.6773
04/11/2015 17:45:00,10.1092,,85.678,85.6777
04/11/2015 18:00:00,10.1085,,85.679,85.6783
04/11/2015 18:15:00,10.1079,,85.68,85.68
04/11/2015 18:30:00,10.1071,,85.68,85.6801
04/11/2015 18:45:00,10.1058,,85.681,85.6805
04/11/2015 19:00:00,10.1045,,85.683,85.6818
04/11/2015 19:15:00,10.1038,,85.683,85.6811
04/11/2015 19:30:00,10.1032,,85.683,85.6805
04/11/2015 19:45:00,10.1023,,85.683,85.6793
04/11/2015 20:00:00,10.1014,,85.684,85.6804
04/11/2015 20:15:00,10.1009,,85.682,85.6792
04/11/2015 20:30:00,10.1006,,85.68,85.677
04/11/2015 20:45:00,10.0999,,85.68,85.6777
04/11/2015 21:00:00,10.0998,,85.677,85.675
04/11/2015 21:15:00,10.1018,,85.676,85.6744
04/11/2015 21:30:00,10.1041,,85.676,85.6755
04/11/2015 21:45:00,10.1052,,85.676,85.6757
04/11/2015 22:00:00,10.106,,85.674,85.6753
04/11/2015 22:15:00,10.1073,,85.672,85.676
04/11/2015 22:30:00,10.1086,,85.671,85.6771
04/11/2015 22:45:00,10.1094,,85.669,85.676
04/11/2015 23:00:00,10.1103,,85.666,85.675
04/11/2015 23:15:00,10.1114,,85.664,85.6752
04/11/2015 23:30:00,10.1131,,85.662,85.6752
04/11/2015 23:45:00,10.1161,,85.66,85.6748
05/11/2015 00:00:00,10.119,,85.657,85.6735
05/11/2015 00:15:00,10.1201,,85.657,85.6754
05/11/2015 00:30:00,10.1214,,85.656,85.6755
05/11/2015 00:45:00,10.1249,,85.654,85.675
05/11/2015 01:00:00,10.1284,,85.654,85.6762
05/11/2015 01:15:00,10.13,,85.653,85.6759
05/11/2015 01:30:00,10.1312,,85.654,85.6775
05/11/2015 01:45:00,10.1328,,85.654,85.6778
05/11/2015 02:00:00,10.1343,,85.653,85.6771
05/11/2015 02:15:00,10.1357,,85.653,85.6777
05/11/2015 02:30:00,10.1367,,85.653,85.6778
05/11/2015 02:45:00,10.137,,85.653,85.6779
05/11/2015 03:00:00,10.137,,85.654,85.6786
05/11/2015 03:15:00,10.1371,,85.655,85.6791
05/11/2015 03:30:00,10.137,,85.656,85.6792
05/11/2015 03:45:00,10.1366,,85.658,85.68
05/11/2015 04:00:00,10.1359,,85.658,85.6786
